,subject,sub_num,age,scaled_accuracy,Unnamed: 4,Unnamed: 5,age_demeaned,acc_demeaned,interaction,child,adult,exclude_late,improvement_score,difference_60_minus_30
0,moshiGO_201,201,19.25,75.23736457,,,5.428453488,15.71357888,85.30043208,0,1,,9.541291962,-0.004516703
1,moshiGO_202,202,21.25,69.5670996,,,7.428453488,10.0433139,74.60629017,0,1,,14.59914651,0.138567668
2,moshiGO_203,203,22,85.21931784,,,8.178453488,25.69553215,210.1497145,0,1,,1.225382558,
3,moshiGO_208,208,12.583,64.9639374,,,-1.238546512,5.440151708,-6.737880923,1,0,,-0.688660105,0.001429843
4,moshiGO_211,211,7.25,20.73092299,,,-6.571546512,-38.7928627,254.9291016,1,0,,4.551539796,0.035267176
5,moshiGO_212,212,8.42,64.80924971,,,-5.401546512,5.285464014,-28.54967971,1,0,,8.047550483,0.026821989
6,moshiGO_213,213,12.17,68.66849127,,,-1.651546512,9.144705572,-15.10290659,1,0,1,10.68081522,-0.002393355
7,moshiGO_220,220,11.67,45.20751005,,,-2.151546512,-14.31627564,30.80213292,1,0,,3.763831095,-0.00873391
8,moshiGO_221,221,9.5,46.45765875,,,-4.321546512,-13.06612694,56.4658753,1,0,,0.368712758,-0.009283685
9,moshiGO_222,222,6.92,25.7118973,,,-6.901546512,-33.81188839,233.3543204,1,0,,14.22303283,0.014632821
10,moshiGO_223,223,21,77.9706263,,,7.178453488,18.44684061,132.4197873,0,1,,4.346131641,-0.184759019
11,moshiGO_224,224,20.83,75.09838173,,,7.008453488,15.57459604,109.1538319,0,1,,-1.458372055,0.024386523
12,moshiGO_226,226,7.92,33.46179419,,,-5.901546512,-26.0619915,153.806055,1,0,,2.925082135,-0.013754827
13,moshiGO_228,228,24.5,73.61844658,,,10.67845349,14.09466089,150.5091808,0,1,,0.694033453,-0.094892354
14,moshiGO_229,229,8.17,54.78824138,,,-5.651546512,-4.735544315,26.76314896,1,0,,-0.075237029,0.001793826
15,moshiGO_230,230,8,26.22259879,,,-5.821546512,-33.3011869,193.8644084,1,0,1,8.803996131,0.170063028
16,moshiGO_231,231,19.75,83.48825374,,,5.928453488,23.96446805,142.0722342,0,1,,3.671569341,-0.003088104
17,moshiGO_232,232,25.25,79.03826076,,,11.42845349,19.51447507,223.0202707,0,1,,7.682075898,0.107475444
18,moshiGO_235,235,21.17,79.12911426,,,7.348453488,19.60532856,144.068845,0,1,,-1.666522788,-0.09493374
19,moshiGO_238,238,19.67,82.99239529,,,5.848453488,23.4686096,137.2550717,0,1,,0.690389557,-0.483621908
20,moshiGO_239,239,12.67,72.78499723,,,-1.151546512,13.26121153,-15.27090188,1,0,,2.131958635,-0.165811742
21,moshiGO_240,240,8.75,13.9144006,,,-5.071546512,-45.60938509,231.3101179,1,0,,4.215375491,0.007071011
22,moshiGO_241,241,10.5,57.78920718,,,-3.321546512,-1.734578516,5.76148322,1,0,1,-1.611871226,0.039740721
23,moshiGO_243,243,11.5,39.46458571,,,-2.321546512,-20.05919998,46.56836575,1,0,,14.82875769,0.003140604
24,moshiGO_246,246,12.5,78.77504278,,,-1.321546512,19.25125708,-25.44143165,1,0,,7.215042837,-0.010939559
25,moshiGO_247,247,12.67,70.76320877,,,-1.151546512,11.23942308,-12.94271844,1,0,,-6.796619686,0.046010673
26,moshiGO_248,248,11.5,78.19584997,,,-2.321546512,18.67206427,-43.34806568,1,0,1,2.535698529,
27,moshiGO_249,249,12.67,67.66120096,,,-1.151546512,8.137415267,-9.370612167,1,0,,1.495929007,0.002451487
28,moshiGO_250,250,11.67,64.42666968,,,-2.151546512,4.902883991,-10.54878295,1,0,,3.931197881,-0.066193343
29,moshiGO_251,251,11.33,73.08485346,,,-2.491546512,13.56106777,-33.7880311,1,0,,7.562348453,-0.010124882
30,moshiGO_252,252,22.42,71.49043327,,,8.598453488,11.96664758,102.8946626,0,1,,9.08333656,-0.026626385
31,moshiGO_253,253,9.08,80.79501851,,,-4.741546512,21.27123281,-100.8585397,1,0,,2.458194585,-0.004196135
32,moshiGO_255,255,19.83,72.81989139,,,6.008453488,13.29610569,79.88903261,0,1,1,3.985632041,-0.004775094
33,moshiGO_258,258,19.67,77.99336159,,,5.848453488,18.46957589,108.0184555,0,1,,6.127564963,-0.109041432
34,moshiGO_259,259,21.67,83.75672601,,,7.848453488,24.23294032,190.191105,0,1,,7.686238519,0.04980462
35,moshiGO_260,260,21.83,77.15700558,,,8.008453488,17.63321988,141.2148213,0,1,,2.386437765,0.012063237
36,moshiGO_261,261,20.25,81.08319534,,,6.428453488,21.55940965,138.5936622,0,1,,3.536642028,-0.001757308
37,moshiGO_262,262,8.75,39.53746717,,,-5.071546512,-19.98631852,101.361544,1,0,,2.458097874,0.015808882
38,moshiGO_266,266,19.58,77.93299133,,,5.758453488,18.40920563,106.0085544,0,1,,2.015986539,-0.007558801
39,moshiGO_268,268,9.08,57.95053102,,,-4.741546512,-1.573254674,7.459660212,1,0,,-0.989337563,-0.005848818
40,moshiGO_270,270,24.08,70.08293037,,,10.25845349,10.55914467,108.3204945,0,1,,9.326266302,-0.034555023
41,moshiGO_271,271,22,73.31114465,,,8.178453488,13.78735896,112.759274,0,1,,1.929847258,-0.00149902
42,moshiGO_273,273,9.83,52.52978911,,,-3.991546512,-6.993996581,27.91686266,1,0,,0.642190792,0.024134976
43,moshiGO_277,277,10.58,53.8790708,,,-3.241546512,-5.64471489,18.29760586,1,0,1,4.913221423,0.097840785
44,moshiGO_278,278,10.75,-8.383645876,,,-3.071546512,-67.90743157,208.5808346,1,0,1,6.577198967,0.108240282
45,moshiGO_279,279,8.17,45.32665406,,,-5.651546512,-14.19713164,80.2357498,1,0,,-3.965421263,-0.077572074
46,moshiGO_280,280,9,51.89089344,,,-4.821546512,-7.632892251,36.80234501,1,0,,4.742191697,-0.010642258
47,moshiGO_281,281,10.75,43.01110591,,,-3.071546512,-16.51267979,50.71946401,1,0,,-7.194908923,0.001134324
48,moshiGO_282,282,8.25,51.07810846,,,-5.571546512,-8.44567723,47.05548351,1,0,,-3.237010632,0.323687389
49,moshiGO_284,284,20.42,66.9917522,,,6.598453488,7.467966507,49.27702965,0,1,,15.7195034,-0.010516076
50,moshiGO_285,285,9.83,61.40485462,,,-3.991546512,1.881068924,-7.508374102,1,0,1,8.94752391,0.054094157
51,moshiGO_289,289,7.17,24.53804226,,,-6.651546512,-34.98574343,232.7092997,1,0,1,14.56506551,0.03519418
52,moshiGO_291,291,20.92,57.02751399,,,7.098453488,-2.4962717,-17.71966856,0,1,,-2.644764274,-0.074153173
53,moshiGO_292,292,21.92,68.47527954,,,8.098453488,8.951493851,72.4932566,0,1,,4.964959344,-0.027190504
54,moshiGO_293,293,21.67,61.59830901,,,7.848453488,2.074523313,16.28179973,0,1,,3.582977777,0.213577763
55,moshiGO_294,294,7.5,36.6435104,,,-6.321546512,-22.88027529,144.6387245,1,0,1,3.646419272,0.008207196
56,moshiGO_297,297,8.75,45.55398936,,,-5.071546512,-13.96979633,70.84847185,1,0,,-0.630840192,0.524948205
57,moshiGO_298,298,7.83,38.97281423,,,-5.991546512,-20.55097146,123.1321014,1,0,,15.5865251,-0.018768726
58,moshiGO_302,302,33.42,74.81860371,,,19.59845349,15.29481802,299.7547796,0,1,,4.727692597,0.556830966
59,moshiGO_304,304,19.83,53.25911882,,,6.008453488,-6.26466687,-37.64095951,0,1,,16.97170803,
60,moshiGO_305,305,20.67,80.51810506,,,6.848453488,20.99431936,143.7786196,0,1,,4.553967522,-0.002360371
61,moshiGO_306,306,21.42,73.99087829,,,7.598453488,14.46709259,109.9275302,0,1,,10.93888153,0.041375513
62,moshiGO_308,308,12.42,87.40595013,,,-1.401546512,27.88216444,-39.07815032,1,0,,3.224757083,-0.00607125
63,moshiGO_310,310,11.83,51.34186168,,,-1.991546512,-8.181924016,16.29468224,1,0,,3.272188939,0.466139641
64,moshiGO_312,312,20.75,75.12584746,,,6.928453488,15.60206177,108.0981593,0,1,,-0.844286704,-0.093090248
65,moshiGO_313,313,11.42,67.65720919,,,-2.401546512,8.133423501,-19.53279484,1,0,,14.31545247,0.087914744
66,moshiGO_314,314,11.42,35.70416545,,,-2.401546512,-23.81962024,57.2039259,1,0,,-0.54845648,0.0458592
67,moshiGO_315,315,12.17,73.854851,,,-1.651546512,14.3310653,-23.66842091,1,0,,13.34939691,0.023506356
68,moshiGO_316,316,12.75,71.31244887,,,-1.071546512,11.78866318,-12.63210091,1,0,1,-2.300801672,0.001796923
69,moshiGO_320,320,11.42,75.40253843,,,-2.401546512,15.87875274,-38.13356326,1,0,,4.065955619,-0.002698952
70,moshiGO_321,321,11.5,-17.99558491,,,-2.321546512,-77.5193706,179.9648244,1,0,1,-7.430229367,0.035687768
71,moshiGO_322,322,12.25,62.10114884,,,-1.571546512,2.57736315,-4.050446069,1,0,,-1.656295479,0.002198281
72,moshiGO_323,323,7.92,53.9829882,,,-5.901546512,-5.540797498,32.69927415,1,0,,3.803098731,0.039874113
73,moshiGO_324,324,9.92,56.95000107,,,-3.901546512,-2.573784618,10.0417404,1,0,,7.403436457,-0.023962247
74,moshiGO_327,327,10.75,78.47821942,,,-3.071546512,18.95443373,-58.21942481,1,0,,3.199023741,0.001686932
75,moshiGO_329,329,9,35.2333464,,,-4.821546512,-24.29043929,117.1174828,1,0,,-0.457377647,0.042058429
76,moshiGO_331,331,10.42,76.89456477,,,-3.401546512,17.37077907,-59.08751296,1,0,,8.782307031,0.021298485
77,moshiGO_333,333,10.08,71.53867753,,,-3.741546512,12.01489184,-44.95427666,1,0,,10.88635535,0.027098809
78,moshiGO_334,334,10,45.99635275,,,-3.821546512,-13.52743294,51.69571417,1,0,1,-10.04342002,0.008440781
79,moshiGO_336,336,10.67,74.16818405,,,-3.151546512,14.64439836,-46.15250257,1,0,,1.690624304,-0.086888886
80,moshiGO_339,339,10.17,69.62004976,,,-3.651546512,10.09626406,-36.86697781,1,0,,14.8489522,0.026119041
81,moshiGO_341,341,7.92,18.96053104,,,-5.901546512,-40.56325465,239.385934,1,0,,7.762975294,0.008315995
82,moshiGO_343,343,9.75,56.25180462,,,-4.071546512,-3.271981078,13.32202315,1,0,,8.365406243,0.003761876
83,moshiGO_345,345,8.42,60.03507871,,,-5.401546512,0.511293018,-2.761773018,1,0,1,0.79872215,-0.006876177
84,moshiGO_350,350,8.25,55.53299554,,,-5.571546512,-3.990790158,22.23487298,1,0,,6.852984473,-0.134385023
85,moshiGO_351,351,7.5,37.21531712,,,-6.321546512,-22.30846857,141.0240217,1,0,,4.62471409,-0.116370795